Supplementary Data VII. Full ancient genomes dataset																					
Sample details for all ancient genomes imputed and analysed in this study, including published data (publication source in column 'Data source')																					
																					
Age (upper), Age (lower), Age average, Dating: radiocarbon date ranges (upper and lower bounds) for 95%CI and mean; dating source (direct date or context)																					
Y haplogroup major & Y haplogroup derived: Y-chromosomal haplogroup - major clade and derived subclade (where relevant) 																					
Coverage: Autosomal genome gepth of coverage (x)																					
Average GP: average genotype probability for called and imputed genotypes																					
Flag: flags used to mark samples in analyses (low coverage; low GP; close relationship to other sample; 0=no flag - see Methods)																					
IBD clustering: labels used for IBD clustering analysis (see Supplementary Note 3f)																					
																		IBD clustering			
Individual ID	Site	Country	Region	Group label	Latitude	Longitude	Data source	Age (upper)	Age (lower)	Age average	Dating	Sex	Y haplogroup (major)	Y haplogroup (derived)	Coverage	Average GP	Flag	Cluster ID	Cluster fine	Cluster global	Cluster group
RISE494	Sabinka 2	Russia	NorthAsia	Siberia_BronzeAge_Karasuk	53.15	91.05	Allentoft_Nature_2015	3,366	3,218	3,292	direct	XY	R1a	R1a	0.23	0.989	0	1.2.2.2.2.2.1	SteppeE_3200BP_2800BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE502	Bystrovka	Russia	NorthAsia	Siberia_BronzeAge_Karasuk	51.91	88.57	Allentoft_Nature_2015	3,446	3,256	3,351	direct	XX			1.14	0.995	0	3.1.1.1.4.2	Steppe_3500BP_1300BP	Asia_45000BP_200BP	Nomad_Steppe_lateA
RISE499	Bystrovka	Russia	NorthAsia	Siberia_BronzeAge_Karasuk	51.91	88.57	Allentoft_Nature_2015	3,350	2,850	3,100	context	XX			1.27	0.994	0	1.2.2.2.2.2.3	SteppeE_3200BP_2800BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE496	Arban 1	Russia	NorthAsia	Siberia_BronzeAge_Karasuk	52.95	90.19	Allentoft_Nature_2015	3,364	3,211	3,288	direct	XX			2.39	0.996	0	1.2.2.2.2.2.1	SteppeE_3200BP_2800BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE495	Arban 1	Russia	NorthAsia	Siberia_BronzeAge_Karasuk	52.95	90.19	Allentoft_Nature_2015	3,350	2,850	3,100	context	XY	R1a	R1a1a1b2	3.49	0.997	0	3.1.1.1.4.2	Steppe_3500BP_1300BP	Asia_45000BP_200BP	Nomad_Steppe_lateA
RISE497	Arban 1	Russia	NorthAsia	Siberia_BronzeAge_Karasuk	52.95	90.19	Allentoft_Nature_2015	3,350	2,850	3,100	context	XX			6.97	0.998	0	3.1.5.2.2	Baikal_4300BP_2800BP	Asia_45000BP_200BP	HG_LakeBaikal_late
RISE554	Afontova Gora	Russia	NorthAsia	Siberia_BronzeAge	56.02	92.87	Allentoft_Nature_2015	2,955	2,794	2,875	direct	XY	N1	N1	0.18	0.983	dup_NEO70				
RISE602	Sary-Bel	Russia	NorthAsia	Siberia_IronAge	50.62	86.46	Allentoft_Nature_2015	2,950	1,950	2,450	context	XY	J2a	J2a	1.20	0.994	0	3.1.1.2.3.4	SteppeC_TianShan_2700BP_800BP	Asia_45000BP_200BP	Nomad_Steppe_lateA
RISE492	Sabinka 2	Russia	NorthAsia	Siberia_IronAge	53.15	91.05	Allentoft_Nature_2015	2,346	2,159	2,253	direct	XY	R1a	R1a1a1b2a2a1b	0.12	0.982	0	3.1.1.1.2.1.7	Steppe_3500BP_1300BP	Asia_45000BP_200BP	Nomad_Steppe_lateA
RISE600	Verh-Uimon	Russia	NorthAsia	Siberia_IronAge	50.21	85.73	Allentoft_Nature_2015	2,950	1,950	2,450	context	XY	Q1a	Q1a2	0.69	0.993	0	3.1.1.2.3.2	SteppeC_TianShan_2700BP_800BP	Asia_45000BP_200BP	Nomad_Steppe_lateA
